epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
1,0.877701222,0.704033404,0.46404,0.7335,0.59653
2,0.803068877,0.709246075,0.48445,0.74047,0.62406
3,0.7757757,0.650041592,0.52791,0.75047,0.67862
4,0.669678341,0.52213862,0.6301,0.81951,0.7666
5,0.618062257,0.521993654,0.5945,0.79992,0.73575
6,0.599992744,0.559503428,0.54622,0.78946,0.68573
7,0.599465185,0.497444893,0.66515,0.85303,0.79222
8,0.578531879,0.519729591,0.57563,0.77122,0.72417
9,0.570173924,0.510592377,0.58638,0.7812,0.73225
10,0.583861959,0.517916986,0.58219,0.77877,0.72819
11,0.567134382,0.475684164,0.62279,0.81284,0.76057
12,0.566697729,0.574802188,0.52401,0.72409,0.68054
13,0.556155314,0.509503971,0.61391,0.83056,0.74886
14,0.553062206,0.538135379,0.60238,0.79346,0.74596
15,0.548836019,0.494191089,0.63861,0.84057,0.77093
16,0.54833936,0.533113667,0.5643,0.77879,0.70893
17,0.532263571,0.503103435,0.58403,0.77906,0.73051
18,0.554455332,0.467649172,0.62279,0.81962,0.75909
19,0.537088783,0.497209076,0.5933,0.78821,0.73669
20,0.540221738,0.457568077,0.63932,0.83029,0.77252
21,0.535661625,0.472991503,0.63027,0.81755,0.76702
22,0.543201738,0.503844473,0.59952,0.8202,0.73599
23,0.54731173,0.479495259,0.60976,0.80014,0.75103
24,0.533216785,0.468172624,0.61432,0.81341,0.75218
25,0.538898072,0.557167886,0.54632,0.75852,0.69434
26,0.530251875,0.453918175,0.67208,0.85656,0.79729
27,0.530053661,0.466228061,0.62121,0.81427,0.75855
28,0.531567807,0.473321053,0.61595,0.82272,0.75194
29,0.526223444,0.476978201,0.61446,0.82031,0.75089
30,0.526646228,0.463045293,0.65071,0.84543,0.78028
31,0.521038751,0.453238915,0.65195,0.8335,0.78368
32,0.52209621,0.48930997,0.59465,0.79782,0.73597
33,0.526936964,0.506352829,0.59168,0.80933,0.73048
34,0.518560967,0.457217565,0.64524,0.82859,0.77853
35,0.508839558,0.470551973,0.61618,0.81723,0.75319
36,0.527203687,0.452221767,0.66345,0.84906,0.79098
37,0.524786772,0.459404369,0.6493,0.83187,0.78158
38,0.52261591,0.462671119,0.62761,0.82155,0.76304
39,0.527871202,0.507705723,0.5825,0.79726,0.72417
40,0.513894078,0.494894032,0.59472,0.79689,0.73618
41,0.522492287,0.473452196,0.6126,0.81625,0.74989
42,0.534667863,0.464335083,0.61851,0.80837,0.75725
43,0.519359818,0.45455602,0.63786,0.83141,0.77089
44,0.523331419,0.550734281,0.55303,0.77421,0.69782
45,0.515234579,0.460156429,0.67353,0.85392,0.79905
46,0.525334929,0.472117738,0.6062,0.79775,0.7483
47,0.519254982,0.452344734,0.66985,0.84873,0.79663
48,0.504522029,0.538825751,0.56931,0.79427,0.71069
49,0.516619861,0.446839288,0.67117,0.85198,0.79723
50,0.511096723,0.463870014,0.61633,0.81614,0.7535
51,0.510570222,0.45438745,0.66986,0.8547,0.79576
52,0.52361791,0.46120776,0.66976,0.85634,0.79545
53,0.515338185,0.465288362,0.62208,0.8251,0.75725
54,0.51400748,0.439466212,0.66333,0.84952,0.79068
55,0.520011179,0.454590859,0.63868,0.83558,0.77092
56,0.507462412,0.458558123,0.6247,0.81918,0.76091
57,0.504911387,0.441034688,0.64687,0.83335,0.77885
58,0.513256705,0.491052011,0.59756,0.80883,0.7367
59,0.509602153,0.523003285,0.55659,0.76954,0.70326
60,0.510613209,0.495392092,0.59421,0.79617,0.73575
61,0.513749864,0.450160806,0.63293,0.82531,0.76753
62,0.508511741,0.446638419,0.66575,0.84621,0.79336
63,0.508234462,0.50663616,0.57709,0.78509,0.72072
64,0.515759219,0.479026597,0.60393,0.80588,0.74358
65,0.509660684,0.447062444,0.63986,0.83185,0.7727
66,0.512018651,0.468567588,0.62635,0.83243,0.75986
67,0.508431596,0.465150636,0.61516,0.81653,0.75218
68,0.501799266,0.475234547,0.60425,0.80442,0.74395
69,0.502650981,0.445535208,0.63727,0.82588,0.77131
70,0.506954002,0.457258742,0.63326,0.82951,0.76705
71,0.509643855,0.441132284,0.6502,0.84082,0.78038
72,0.504835669,0.444255836,0.654,0.83808,0.78451
73,0.499198331,0.448398652,0.66014,0.83895,0.78985
74,0.507860489,0.482212315,0.59808,0.78923,0.74171
75,0.503600899,0.462063199,0.61934,0.81518,0.75676
76,0.511635954,0.439000026,0.65327,0.83585,0.78412
77,0.509586004,0.443482192,0.64769,0.82985,0.78043
78,0.508723485,0.461951345,0.62111,0.81037,0.75928
79,0.500195128,0.478907006,0.61111,0.82115,0.74745
80,0.508116966,0.441630098,0.65131,0.84102,0.78141
81,0.512706324,0.458523638,0.63894,0.83709,0.77102
82,0.514098901,0.455320478,0.66059,0.83907,0.79031
83,0.510169169,0.468139108,0.62663,0.82619,0.76149
84,0.508540036,0.487903367,0.59179,0.80039,0.73243
85,0.493606683,0.449427087,0.64237,0.83397,0.77467
86,0.49774976,0.508758089,0.57501,0.78547,0.71876
87,0.494372769,0.466616482,0.6182,0.81183,0.75607
88,0.498553242,0.443626658,0.64323,0.83147,0.77586
89,0.504704939,0.444629171,0.64202,0.83107,0.77485
90,0.495944889,0.541008969,0.55387,0.76996,0.69981
91,0.502765259,0.442267034,0.65272,0.83443,0.78402
92,0.49570658,0.454362502,0.63603,0.8317,0.76916
93,0.498497273,0.478249031,0.60974,0.80985,0.74828
94,0.49489745,0.444898344,0.63854,0.8275,0.77236
95,0.502596043,0.43784607,0.64872,0.83639,0.77984
96,0.498447147,0.48481074,0.59473,0.801,0.7353
97,0.494643188,0.453844486,0.65175,0.84494,0.7814
98,0.503723382,0.445168179,0.63795,0.829,0.77139
99,0.504485625,0.435844518,0.65285,0.83837,0.78322
100,0.501786781,0.441937173,0.67093,0.85326,0.79678